vehicle_number,lap,corner,time,expected,time_loss,severity,type
3.0,28.0,T1,28.194,10.188016129032258,18.00598387096774,2.9061356903001045,slow_corner
5.0,28.0,T1,27.589,10.188016129032258,17.400983870967742,2.808489701875865,slow_corner
16.0,27.0,T1,33.629,10.188016129032258,23.44098387096774,3.783335602838523,slow_corner
3.0,7.0,T2,14.323,5.59025806451613,8.73274193548387,2.427462478746443,slow_corner
5.0,7.0,T2,16.235,5.59025806451613,10.64474193548387,2.9589459799940987,slow_corner
16.0,18.0,T2,13.557,5.59025806451613,7.966741935483871,2.2145355111963885,slow_corner
3.0,27.0,T3,35.499,4.55575806451613,30.943241935483872,6.726805198504228,slow_corner
3.0,9.0,T4,17.334,3.3256935483870964,14.008306451612903,4.343902717861448,slow_corner
3.0,22.0,T4,10.392,3.3256935483870964,7.066306451612903,2.1912247498603903,slow_corner
3.0,27.0,T5,35.638,6.072629032258066,29.565370967741934,3.5226698154853966,slow_corner
5.0,10.0,T5,37.535,6.072629032258066,31.462370967741933,3.748694533635117,slow_corner
5.0,27.0,T5,36.978,6.072629032258066,30.905370967741938,3.6823288151272657,slow_corner
16.0,3.0,T5,31.264,6.072629032258066,25.191370967741932,3.001514245012609,slow_corner
16.0,27.0,T6,40.491,7.778693548387097,32.7123064516129,5.840986255193425,slow_corner
3.0,28.0,T7,22.988,9.253096774193546,13.734903225806454,2.3188470474107494,slow_corner
16.0,10.0,T7,39.395,9.253096774193546,30.14190322580646,5.088820951222825,slow_corner
3.0,8.0,T8,25.781,4.6706129032258055,21.110387096774193,3.6510038803576306,slow_corner
3.0,22.0,T8,22.132,4.6706129032258055,17.461387096774196,3.019915824115367,slow_corner
3.0,28.0,T8,20.483,4.6706129032258055,15.812387096774195,2.7347242086745633,slow_corner
5.0,8.0,T8,24.978,4.6706129032258055,20.307387096774196,3.512126459375845,slow_corner
16.0,22.0,T9,26.058,8.32432258064516,17.73367741935484,3.7936070072536965,slow_corner
3.0,13.0,T10,13.426,4.377725806451613,9.048274193548387,2.135998638827769,slow_corner
3.0,24.0,T10,17.99,4.377725806451613,13.612274193548386,3.213408272872786,slow_corner
3.0,25.0,T10,17.45,4.377725806451613,13.072274193548386,3.0859321110883187,slow_corner
3.0,5.0,T11,26.864,3.967645161290323,22.896354838709676,4.2587507322759315,slow_corner
5.0,5.0,T11,26.067,3.967645161290323,22.099354838709676,4.110507732133154,slow_corner
5.0,7.0,T11,15.937,3.967645161290323,11.969354838709677,2.2263150201553206,slow_corner
